  1481,   2535,  -3697
    270,   -577,  -4036
   1211,    298,   -410
   1404,   3498,   1673
   -855,   4468,  -1423
   -681,   3676,   -741
   2403,   1664,  -1187
   2267,   3045,  -2876
   1294,   3056,  -2238
   2019,   3991,   -169
    834,   3976,   -415
    929,   3304,    961
     18,    892,   2444
  -4126,    871,  -2183
  -3520,   3609,  -2352
  -2463,   3543,  -1874
  -2822,   1280,  -3576
   1823,   2983,  -1539
   1389,   1157,  -3951
  -2762,   1655,  -2665
  -4381,    547,   -149
  -3647,   -718,   1516
   1271,   1679,   1264
   1613,  -1839,   -208
    341,   -947,  -2955
   1133,     75,  -1548
    846,   -322,  -3835
  -1265,   -987,  -2828
  -3250,    136,  -3072
  -1665,   1456,  -4126
   2232,   1180,  -1304
   2019,   2343,   1066
   1102,   3921,    936
     59,   3904,   -107
   1843,   2661,  -1191
  -2145,   1375,  -3101
  -4146,   2226,   -279
  -2881,   1963,   1970
  -1869,   1064,   2420
    952,   4438,   -486
   -294,   2837,   -577
   2180,  -1416,   -924
    366,   1885,  -3875
    541,   -343,  -3767
   1820,   1801,   -169
   1011,   2601,   1720
   -963,   3035,   2142
  -2600,   2275,    977
  -2105,   2638,  -4017
    228,   3061,  -3145
   1960,   3231,  -1041
   1605,   3946,     19
  -1391,   4221,    763
    267,   3494,   -469
   2525,    745,  -1549
   1730,   1652,  -3823
  -3532,   2039,  -1890
  -4318,    938,    183
  -3192,    625,   2231
  -1168,   1083,   2246
   1427,   1399,   1171
    249,   4359,  -1448
    -31,   3895,    -35
    401,   1216,   1816
   -374,    -41,   2296
   -632,   -240,  -3197
  -1370,   2688,  -3747
  -2531,   1785,  -2684
  -4144,     -6,   -923
  -3473,    224,   1892
   1030,   4405,   -552
   -330,   4371,  -1075
   1386,   2314,   -582
   2481,   2194,  -1886
    983,   2356,  -3261
   1875,   3102,     18
   1127,   3681,    630
    149,   2582,   1471
   -104,    312,   2370
  -4403,   1288,  -1791
  -2558,   2229,  -4003
    143,   2601,  -3289
   -235,   -540,  -3829
  -3348,    986,   2148
   -777,   2775,   2110
   1167,   4089,   -279
   1144,   2195,   -418
   1896,   2598,  -3478
  -2530,   1896,  -2982
  -4153,   1551,   -779
  -3787,    207,   1904
   -940,   1869,   2104
   2128,    471,  -2060
   1556,   2810,  -3087
    540,  -1195,  -3889
    333,   -155,   -218
    304,   4397,   -612
    172,   3637,   -451
   2331,    390,   -414
   2306,   1744,  -2246
     93,   2264,  -3407
   2067,   3078,  -1288
   1783,   3616,   -283
   1246,   3114,    692
    401,    495,   2268
  -4311,    985,  -1795
  -2485,   2544,  -3794
   -746,   1328,  -3778
    132,   1918,  -3272
   1470,   2598,   1388
   -264,   2940,   2027
    308,   4120,    -93
   1015,   3011,  -1511
   2019,   2076,  -2566
  -3800,    -92,  -1468
  -3584,     15,   1558
  -1414,    840,   2171
    905,   3053,   1227
   2001,   1461,  -2467
   1052,   1956,  -3858
   -707,   2107,  -3898
    863,   2054,  -3074
   1170,   3276,    418
    464,    531,   2186
  -1669,  -1204,    988
  -3135,    755,  -3470
   -139,   3512,  -3401
  -3474,  -1117,  -2827
    320,    716,  -1833
   2195,   3957,    487
    -33,   4052,    379
   -823,   3014,   1597
   -810,   3694,   1410
   1266,   2507,   -596
   2498,   1231,  -1790
   1504,   2243,  -3637
  -3657,   1595,  -1473
  -4066,   1770,   1100
  -2274,   1893,   2138
   -439,   3105,   1724
   2341,    811,  -2369
   1138,   1216,  -3720
   1408,    771,  -2416
   2416,   2532,    184
   -465,    -79,   2372
  -2456,   -812,    897
  -3376,   1205,  -3678
   -363,   3117,  -3434
    493,   2744,  -3064
  -4157,    798,   -643
  -3681,    802,   1920
  -1189,   2740,   2271
    641,   3928,    -47
   2258,   1930,  -1677
   2023,   1686,  -2914
   1391,   1668,  -3097
   2179,   2689,  -1542
    532,    924,   2078
  -1472,   1097,   2170
  -3674,    493,    436
  -3827,   2086,  -3198
  -1602,   2600,  -3365
   2068,   1312,  -2312
   1625,   2237,  -3270
  -1079,   -487,  -3529
  -3771,    474,    -33
   -659,   2551,   1939
   1540,   2726,   -194
   2384,   1489,  -2086
   1350,   2439,  -3677
   1190,   1425,  -2480
   2429,   1379,    516
   1131,    979,   2039
   -376,   -174,   2258
  -2005,  -1778,    312
     90,   3036,  -3106
   1596,   2909,  -1877
    553,  -1995,   -857
